"texteid","txt","zeitstempel"
2218,italian,2009-12-11 12:32:05.330
2219,italian,2009-12-11 12:32:05.620
2220,japanese,2009-12-11 12:32:05.820
2221,japanese,2009-12-11 12:32:05.910
2222,japanese,2009-12-11 12:32:05.101
2223,hungarian,2009-12-11 13:36:07.877
2224,hungarian,2009-12-11 13:36:07.965
2225,hungarian,2009-12-11 13:36:07.981
2244,swedish,2009-12-11 13:42:25.216
2226,norwegian,2009-12-11 13:40:27.236
2227,norwegian,2009-12-11 13:40:27.331
2228,norwegian,2009-12-11 13:40:27.346
2229,polish,2009-12-11 13:40:27.361
2230,polish,2009-12-11 13:40:27.369
2231,polish,2009-12-11 13:40:27.377
2232,portuguese,2009-12-11 13:40:27.393
2233,portuguese,2009-12-11 13:40:27.401
2234,portuguese,2009-12-11 13:40:27.415
2235,romanian,2009-12-11 13:40:27.431
2236,romanian,2009-12-11 13:40:27.439
2237,romanian,2009-12-11 13:40:27.447
2238,russian,2009-12-11 13:41:24.596
2239,russian,2009-12-11 13:41:24.681
2240,russian,2009-12-11 13:41:24.689
2241,sami,2009-12-11 13:41:24.707
2242,sami,2009-12-11 13:41:24.715
2243,sami,2009-12-11 13:41:24.723
2245,swedish,2009-12-11 13:42:25.304
2246,swedish,2009-12-11 13:42:25.316
2247,slovak,2009-12-11 13:42:25.335
2248,slovak,2009-12-11 13:42:25.345
2249,slovak,2009-12-11 13:42:25.356
2250,spanish,2009-12-11 13:42:25.379
2251,spanish,2009-12-11 13:42:25.389
2255,czech,2009-12-11 13:42:25.445
2256,turkish,2009-12-11 13:42:25.466
2257,turkish,2009-12-11 13:42:25.477
2258,turkish,2009-12-11 13:42:25.487
2261,The Philokalia as introduction into orthodox Spirituality (HS-H;M;L;MEd II;MRC V1a),2009-12-14 08:57:11.566
2262,Comparing christian denominations  (HS;H;M;L;MEd C Ia/II; MRC V3a;KK-SG),2009-12-14 08:58:38.690
2264,Exercise: Economics of education in a cliometric perspective,2009-12-14 12:16:55.840
2268,Institutions of vocational education and training,2009-12-14 19:44:51.504
2270,Economic Rationality and Social Responsibility,2009-12-14 19:44:53.211
2271,Quality assurance and enhancement in vocational education,2009-12-14 19:44:54.998
2272,Quality of vocational learning environments,2009-12-14 19:44:55.703
2273,Processes of teaching and learning in vocational education,2009-12-14 19:44:56.568
2274,Processes of teaching and learning in vocational education,2009-12-14 19:44:57.256
2275,Teaching and learning environments in institutions of vocational education,2009-12-14 19:44:58.610
2276,"Systematisation of curricular contents in accounting, internship follow-up",2009-12-14 19:49:57.501
2277,Student centred teaching and learning in accounting; internship preparation,2009-12-14 19:49:58.169
2278,Controlling in vocational education,2009-12-14 19:49:58.955
2279,Educational standards and development of professional competences in accounting,2009-12-14 19:49:59.723
2280,Adaptive environments for teaching and learning in vocational education and training,2009-12-14 19:50:00.518
2281,Introduction into Educational Diagnostics - Practical Exercises,2009-12-15 10:48:20.782
2282,Introduction into Educational Diagnostics,2009-12-15 10:48:22.717
2284,Differential Learning Environments,2009-12-15 10:50:06.203
2287,Educational Statistics I,2009-12-15 10:50:08.345
2289,Introduction into Educational Research,2009-12-15 10:50:09.938
3759,external,2010-09-24 07:09:30.526
23442,Academic Affairs,2020-06-26 04:35:18.251
19177,New religious songs,2017-11-10 08:52:41.369
2293,Didactics of Intercultural Action,2009-12-15 13:48:32.498
2294,Instrumentation in Intercultural Competence Formation,2009-12-15 13:48:54.860
2295,The Formation of Intercultural Competence as Global Challenge,2009-12-15 13:49:08.375
2267,"Comparison, transfer, convergence",2009-12-15 15:55:23.810
2296,Worldwide Christianity in its regional contexts,2009-12-16 14:32:31.696
2297,The Golden Rule in religious and philosophical traditions of the world,2009-12-16 14:42:07.386
2298,Inter-religious hermeneutics: Encounters with religious communities of Indian origin,2009-12-16 14:44:55.499
2299,"Religions in India (GS, HS - H, M, MEd-F, MRC-V1g)",2009-12-16 14:46:42.631
2300,"Constructivist Religious Education Studies (HS - L, H, M; MEd: G I, MRC V2d/e)",2009-12-17 15:32:42.901
3365,Evaluation,2010-08-30 12:11:38.527
2302,Seminar on Didactics of Religion: Jesus Christ as Subject in School and Church,2009-12-17 15:52:18.283
3838,Faculty of Arts and Humanities I,2010-11-11 10:38:22.638
2304,Practical Course: Teaching Religious Education,2009-12-17 16:17:11.983
2308,Aid and educational development: international cooperation in education,2009-12-21 10:27:55.780
2309,Social Situation of students with learning disabilities,2010-01-01 19:43:22.270
2312,Planning of Field Experiences: Education of individuals with learning disabilities,2010-01-02 17:51:24.457
2313,Developmental Teaching for children with special educational needs,2010-01-02 18:08:13.556
2314,Inquiries of learning disabilities and special educational needs,2010-01-02 18:15:18.804
2315,Reflection of Teaching Experiences: Education of individuals with learning disabilities,2010-01-02 18:20:34.894
2316,Reflection and analyse the experience of teach placement,2010-01-04 10:46:07.730
2318,Internship: Teaching and Auditing,2010-01-05 18:19:46.682
2319,"History of Christian Archeology  (GS/HS-H, M, L-SG)",2010-01-06 12:24:38.367
2320,"Masterpieces of Christian Art I (3rd-4th century) (GS/HS-H,M,L-SG)",2010-01-06 12:40:52.813
2321,"Masterpieces of Christian Art II (5. - 6. century) (Gs/HS-H,M,L-SG)",2010-01-06 13:01:20.535
2322,"2. Archeological remains of Early Christianity in Germany",2010-01-06 13:25:55.210
2323,Education and Ritual,2010-01-07 14:41:34.680
2324,Education and Passing on Tradition,2010-01-07 14:41:36.173
2325,Texts on the history and future of special education (intellectual disability),2010-01-07 15:12:11.562
2326,Historical consciousness and mental development,2010-01-07 15:22:04.192
2327,Reflection of teaching traineeship,2010-01-07 15:34:58.548
2328,Learning in heterogeneous groups - Introduction to the manual &quot;Index of Inclusion&quot;,2010-01-08 15:11:34.467
2329,Colloquium: scientific issues in the rehabilitation sciences,2010-01-08 15:41:54.680
2330,Postgraduate Seminar Systematic/Practical Theology,2010-01-11 23:03:32.938
2331,"The doctrine of the Trinity (GS/HS-H, M,L, BA [V] ST, MEd A, B, MRC",2010-01-11 23:46:36.809
2332,"Basic course Ethics, (GS-H, BA[ B] ST)",2010-01-11 23:48:38.899
2333,Multiple Modernity and the Development of Education Systems in Asia,2010-01-12 14:59:16.305
2334,Theory and Practice of Change in Education Systems,2010-01-12 15:00:07.735
2335,Preparation of teaching traineeship,2010-01-13 11:37:16.753
2336,"Relation, Dialog, Speech- Communication and (severe) disability",2010-01-13 11:47:48.927
2337,Basic approaches and concepts of early encouragement,2010-01-13 11:54:33.450
2338,"pedagogic, ethic and anthropologic basics of pedagogic basics of pedagogic of intellectual disability",2010-01-13 14:35:49.698
2339,People with intellectual disability and &quot;participation in life of society&quot;,2010-01-14 14:12:40.828
2340,Counselling and coperation - basic competences in intervention,2010-01-14 14:16:33.762
2341,Experimental and standardized methods (psychological diagnostics I),2010-01-14 14:37:29.660
2342,Didactical questions in the special support of intellectual disabilty,2010-01-14 14:42:35.869
2343,Statistics in the rehabilitation sciences,2010-01-14 14:45:52.580
2344,"Theories of cognitive, social, emotional and motivational development",2010-01-14 14:50:29.600
2345,Scientific questions regarding the pedagogic for people of intellectual disability,2010-01-14 14:51:41.820
2346,Participation for individuals with physically handicaps,2010-01-14 15:01:50.930
2347,Make Music for Beginners with physically handicapped pupils,2010-01-14 15:15:16.991
2348,"Theories of cognitive, social and emotional development",2010-01-14 15:17:48.254
2349,Colloquium in Preparation of the Exams,2010-01-14 15:23:00.143
2350,Basic principles of lifetime development,2010-01-14 15:44:44.660
2351,IEP and therapy in the field of the education of physically handicaped pupils,2010-01-14 15:45:30.874
2352,Diagnostics of physically handicapped Children- Snoezelen,2010-01-14 15:55:05.968
2056,Principles and paradigms of comparative and education research,2010-02-08 19:13:30.695
2353,Preparation of the Practical Training to get familiar with the Jobs in the Field of the Education of Physically Handicapped People,2010-01-14 16:02:49.981
2354,Postprocessing the practical Training of Teaching,2010-01-14 16:08:38.350
2355,Usage of New Media at Institutions for the physically handicapped,2010-01-14 16:29:00.129
2356,Psychological diagnostics of personality,2010-01-14 16:33:59.741
2357,Didactic Competence in the education of the physically handicapped- Excercises,2010-01-14 16:38:21.618
2358,Psychological diagnostics I - Introduction to pedagogic-psychological diagnostics,2010-01-14 16:43:51.949
2359,Rehabilitation psychology - communication and its disorders in people with disabilities,2010-01-15 15:52:55.961
2360,Psychological diagnostics II - Focus on diagnostics of development and intelligence,2010-01-15 16:15:31.573
2361,Supervising course for on-the-job,2010-01-15 16:35:36.535
3760,external,2010-09-24 07:09:30.532
2362,Discussion of actual research on diploma and doctoral theses,2010-01-15 16:44:26.650
2363,Self-Help and Empowerment,2010-01-15 16:57:14.943
2364,Divergent behaviour,2010-01-18 22:49:08.909
2365,Fundamentals of vocational rehabilitation and of labour-market for the disabled,2010-01-18 23:25:44.695
2366,Series of lectures held by various speakers: Written language acquisition under special conditions. All children can learn reading and writing,2010-01-18 23:51:15.680
2367,Foundations of Orientation and Mobility and Daily Life Activities with Blind and Low Vision Individuals,2010-01-19 12:40:25.550
2368,Foundations of Orientation and Mobility and Daily Life Activities with Blind and Low  \tVision Individuals,2010-01-19 12:46:50.266
2369,Visual Impairment and Functional Compensation,2010-01-19 12:53:22.526
2370,Vocational Rehabilitation and Social Competence,2010-01-19 12:58:58.312
2371,Evaluation of Studies to Explore Vocational Fields,2010-01-19 13:05:57.621
3840,Faculty of Mathematics and Natural Sciences II,2010-11-11 10:38:22.661
2372,Preparation of Studies to Explore Vocational Fields,2010-01-19 13:10:12.541
2373,Evaluation of Practical Studies,2010-01-19 13:14:47.148
2374,Multi-impaired Blind and Low Vision Individuals,2010-01-19 13:18:57.545
2375,Assessment and Support in Blind and Low Vision Individuals,2010-01-19 13:25:33.413
2376,Braille I,2010-01-19 13:30:42.943
2377,"Consultation, Collarboation and Therapy for Children with Learning and Behavior Problems",2010-01-20 11:00:19.820
2378,Teaching students with E/BD-Didactic and pedagogic-therapeutical perspectives,2010-01-20 11:10:26.380
2379,Educating children with emotional and behavioral disorders- institutions and fields of professional actions/ Pedagogical propaedeutics: Preperation for practical experiences in the field of E/BD education,2010-01-20 11:17:58.390
2380,Pedagogical reflection on teaching students with E/BD: Follow up to practical experiences,2010-01-20 11:23:03.449
2382,Emotional and behavioural disorder pedagogy- a reading course,2010-01-20 11:53:06.326
2383,Academic topics and current issues of emotional and behavioural disorder pedagogy,2010-01-20 13:04:20.344
2384,Selected aspects of psychoanalytical pedagogy,2010-01-20 13:10:38.390
2385,Psychoanalytical contribution to developmental psychology-structure and conflict,2010-01-20 13:16:43.613
2386,Deaf Culture,2010-01-20 13:47:26.286
2387,Tactile communication,2010-01-20 13:50:31.813
2389,Sign language linguistics (part I),2010-01-20 13:58:21.759
2390,German Sign Language (level II),2010-01-20 14:03:12.800
2393,Sociology I,2010-01-20 14:21:41.327
2394,Productive skills in GSL,2010-01-20 14:25:58.904
2396,German Sign Language (level II),2010-01-20 14:30:16.269
2398,Psychology II,2010-01-20 14:35:50.970
2399,Preparatory seminar,2010-01-20 14:39:14.664
2401,Breathing techniques and exercises in phonation,2010-01-20 14:45:52.849
2402,alternative forms in signing,2010-01-20 14:54:42.594
2403,German Sign Language (level I),2010-01-20 14:58:08.226
2388,Introduction to communicating with foreign signers,2010-01-20 13:55:31.750
2391,Receptive skills in GSL,2010-01-20 14:12:15.248
2392,productive skills in GSL,2010-01-20 14:18:00.109
2395,Receptive skills in GSL,2010-01-20 14:27:35.328
2397,Supervision,2010-01-20 14:33:00.406
2400,Research topics in Deaf Studies,2010-01-20 14:41:59.768
2404,Pedagogical audiology - hearing and speech interview,2010-01-25 23:23:38.420
2405,Bilingualism of deaf and hearing-impaired,2010-01-25 23:33:24.870
2406,Sign Language,2010-01-25 23:42:54.303
2407,Sign Language,2010-01-26 00:04:30.642
2408,Didactics of German Sign Language,2010-01-26 21:58:49.431
2409,Comparison of German Sign Language and German,2010-01-26 22:07:07.109
2410,Sign Language - Training of expression,2010-01-26 22:10:23.935
2411,Sign Language - Training of expression,2010-01-26 22:15:12.821
2412,"AAC, tactile Signs and Lormen",2010-01-26 22:29:12.157
2413,Evaluation of Literacy and Liberacy in deaf children,2010-01-29 14:36:10.143
2414,Reflection of teaching traineeship,2010-01-29 14:52:52.761
2415,Speach and voice therapy for hard of hearing people,2010-01-29 15:05:01.260
2416,Hard of hearing children and young people from migrant families,2010-01-29 15:19:46.838
2417,Rhythm - musical education for heard of hearing people,2010-01-29 15:28:15.751
2418,Exchange of experiences in school lessons,2010-01-29 15:54:31.192
2419,Inclusive education in primary school,2010-01-31 18:44:55.695
2420,Educational diagnostics within the field of language,2010-01-31 18:51:40.691
2421,Social interaction of impaired people from the point of view of the special education for language impaired,2010-01-31 18:59:20.184
2422,Educational speech therapy of children and young adults,2010-01-31 19:10:16.960
2423,Language and communication,2010-01-31 19:19:41.356
2424,Acquisition of written language on hindered conditions,2010-01-31 19:32:48.733
2425,"Disorder of articulation: Approaches of explanations, diagnostics and therapy",2010-01-31 19:51:34.472
2427,Consultation and cooperation with parents of speech impaired children and young adults,2010-01-31 23:57:09.507
2428,Colloquium of special education for language impaired: In-depth study central questions,2010-02-01 00:06:55.971
3105,Sign language linguistics (course III),2010-06-17 11:42:24.478
2429,Occupational fields accessing internship: Pre-Processing - Professional acting in institutions for people with impairments,2010-02-01 00:28:43.766
2430,Didactic ( Post-Processing of practical school studies),2010-02-01 00:33:45.882
19178,"Judaism &#8211; our first sibling &#8211; from the hatred of Jews to real dialogue (GS/ HS &#8211; H 410/411/460/572/611/612/613/ MEd F, MRC-K1, V1c, V3a)",2017-11-24 11:16:28.846
2381,Violence in families as seen by psychoanalytical Pedagogy,2010-02-04 12:27:32.558
2266,"1000 students and 1 teacher - the Bell-Lancaster-System in elementary schools in the 19th century",2010-02-08 17:16:32.636
2433,Psychology of the deaf I,2010-02-11 16:36:17.474
2434,Teach and Learn- An Introduction to the Didactic Basis,2010-02-11 16:36:59.606
2435,"Theories of cognitive, social and emotional development",2010-02-18 15:02:26.226
19179,"Pastoral Counselling (HS &#8211; H 650/651, MRC V4b(4))",2017-11-10 20:11:27.840
22760,Religious education and interreligious sensitivity with regard to Judaism and Isla (MEd RP2/E/F; HS &#8211; H 251/450/651; MRC V1f(3)/ V2f(3)/ V2g(3)/ V3a(3)/ V4b(4)),2020-01-13 11:33:43.442
2496,Introduction to historical studies in education,2010-02-25 18:03:11.340
2497,Youth cultures in the GDR,2010-02-25 18:03:11.972
2498,Tutorial: Introduction to Historical Studies in Education,2010-02-25 18:03:12.750
2501,Dari / Persian I,2010-02-25 18:03:14.324
2509,Introduction to Sociology theory,2010-02-25 18:03:25.424
2510,Theories in Sociology,2010-02-25 18:03:25.505
2512,German politics and governace in european context,2010-02-25 18:03:25.854
2516,Advanced Dari / Persian,2010-02-25 18:03:28.560
3761,Visiting Professor,2010-09-24 07:09:30.544
19180,"Seminar on the Didactics of Religion: Refugees and Migrants (MEd K, HS &#8211; H 450)",2017-11-10 20:28:18.768
19181,Monuments of Civil Religion in Berlin (with Excursions in and around Berlin) (MEd RP2/E; HS &#8211; H 251/450/651; MRC V3a(3)/ V4b(4)),2017-11-10 20:38:24.847
19186,Workshop of Catholic and Protestant Theology Students on Questions of Denomination  (BA[B]RP; MEd RP2/A/B/C/E II; H 250/650/651; MRC V4b(5)/V4c(2)),2017-11-10 21:00:09.402
2603,Administrative reform and the development of Indian political organisations in colonial India (mid 19th century - 1947),2010-02-25 18:04:15.234
2604,Social Structure in South Asia,2010-02-25 18:04:15.341
2605,Conflict potentials of language diversity in South Asia after 1947,2010-02-25 18:04:15.799
2606,Reading modern Hindi Prose: city stories,2010-02-25 18:04:15.886
19182,Biblical storytelling (BA[B]RP; MEd RP2/A/B/E II; H 250/650/651; MRC V4b(5)),2017-11-10 20:40:25.243
19665,Project management,2018-01-29 10:35:09.528
2616,Tajik II,2010-02-25 18:04:22.705
2617,Uzbek  II,2010-02-25 18:04:22.812
2619,Communicating the Self,2010-02-25 18:04:22.987
2626,Colloquium for Thesis/Dissertation Candidates,2010-02-25 18:04:25.894
2628,Compulsory Module K1:  Introduction into Central Asian Studies,2010-02-25 18:04:26.480
2630,Compulsory Module K2: Sources and Methods of  Central Asian Studies,2010-02-25 18:04:26.219
2631,Profile Study P3: Identities and Institutions in Central Asia (Analysis and Interpretation),2010-02-25 18:04:26.303
2662,Exemplary studies (primary school education),2010-02-25 18:04:54.981
2674,Evaluation,2010-02-25 18:04:57.450
2676,Metrisation and hygiene in school as instruments of social standardisation and normalisation,2010-02-25 18:05:03.147
2677,Introduction to Social Sciences,2010-02-25 18:05:20.160
2678,"Family, Socialisation And Population Growth",2010-02-25 18:05:20.206
2679,Introductory Course II,2010-02-25 18:05:20.306
2680,Social Research Methods,2010-02-25 18:05:20.902
2681,The classics and outsiders - educators in the area of research and practice,2010-02-25 18:05:23.209
19183,"Religious Education (Basic Course II) (BA[B]RP, GS &#8211; H 150/151)",2017-11-10 20:42:50.633
19666,Social-media management in practice,2018-01-29 10:55:09.292
2694,Methods in Human Geography,2010-02-25 18:05:53.905
2700,Introduction into Educational Diagnostics - Practical Exercises,2010-02-25 18:06:09.945
2701,Educational Careers of Immigrant Children,2010-02-25 18:06:10.540
2711,Psychometric Principles of Educational Achievement Surveys,2010-02-25 18:06:41.943
2712,Learning motivation and counseling,2010-02-25 18:06:43.525
2713,Colloquium for students preparing their masters thesis within the module LM1 Learning motivation and counseling,2010-02-25 18:06:44.162
2717,Attitudes toward Strangers,2010-02-25 18:06:55.573
2718,Islam at the Classroom,2010-02-25 18:06:56.255
2719,Culture between Construction and Reality,2010-02-25 18:06:56.350
2721,Introductory Course: Internationally Comparative Research in Education,2010-02-25 18:07:03.745
2722,Introduction into Educational Diagnostics,2010-02-25 18:07:03.977
2724,Development and studying theories,2010-02-25 18:07:06.999
2726,Children`s world knowledge,2010-02-25 18:07:07.828
2735,Field Experiences: Education and Rehab. of individuals with learning disabilities,2010-02-25 18:07:19.133
3844,Faculty of Arts and Humanities III,2010-11-11 10:38:22.708
3345,&quot;And what´s next?&quot; Searching and finding the right job for humanists,2010-08-18 11:13:46.986
3355,Workshop on Research Methods in Adult Education - Mentoring I,2010-08-23 11:49:38.689
3841,"Faculty of Language, Literature and Humanities",2017-04-26 04:36:35.756
19184,Course: Learning to Teach Religious Education I (MEd RP1),2017-11-10 20:45:30.652
2759,School development in the perspectives of school criticism and school reform,2010-02-25 18:07:24.150
2760,School development in the perspectives of school criticism and school reform,2010-02-25 18:07:24.960
19667,Political journalism,2018-01-29 11:02:10.732
2765,Colloquium: Learning motivation and counseling,2010-02-25 18:07:24.683
2771,Diagnostics in processes of vocational education and training,2010-02-25 18:07:25.650
2772,Internal Evaluation in institutions of vocational education and training,2010-02-25 18:07:25.743
2773,School an Intercuturality,2010-02-25 18:07:29.941
2774,Theory and Practice of Cultural Sensitivity,2010-02-25 18:07:30.700
2775,Intercultural Communication in Educational Perspective,2010-02-25 18:07:30.865
3106,Colloquium: Research topics in Deaf Studies,2010-06-17 11:45:36.604
2779,Conditions of educational practice during the period of National Socialism in \tGermany and during East German Socialism in the GDR,2010-02-25 18:07:32.970
2780,Research seminar,2010-02-25 18:07:33.572
2788,Pedagogical action and locations of learning,2010-02-25 18:07:34.630
2793,Reading -  how to deal with texts and media,2010-02-25 18:07:36.868
2794,Written Language Acquisition,2010-02-25 18:07:36.971
2795,Introduction to the studying area of German,2010-02-25 18:07:37.610
2796,"Verbal useage and language basic activities: speaking, listening, writing, reading",2010-02-25 18:07:37.152
2797,History and memories of the Hitler-Youth,2010-02-25 18:07:37.236
2798,Writing: writing texts and orthography as a complex performance,2010-02-25 18:07:37.333
2799,Acquisition of scientific and technical decision-making competence of the studying area of local social studies/elementary science I,2010-02-25 18:07:37.425
2802,Exemplary studies (studying area of German),2010-02-25 18:07:37.649
2803,Exemplary studies (studying area of social studies/elementary science),2010-02-25 18:07:37.773
2804,The Philosophy of Science and the Science of Education II - Critical-Rational Pedagogy vs. Critical Pedagogy,2010-02-25 18:07:41.180
2983,Modul 1: Introduction to Linguistics,2010-03-23 17:48:42.670
2809,Extensive teaching-and-learning arrangements and environments,2010-02-25 18:08:02.234
2810,The Philosophy of Science and the Science of Education I  - A General Overview,2010-02-25 18:08:03.863
2813,"Childhood, Youth and Intergenerationality within the Pedagogic Framework",2010-02-25 18:08:04.126
2814,Tutorial: Fundamental Concepts and Theories of Pedagogic Thought and Action/ Basic Questions of Education and Schooling,2010-02-25 18:08:04.197
2815,Tutorial: Fundamental Concepts and Theories of Pedagogic Thought and Action/ Basic Questions of Education and Schooling,2010-02-25 18:08:04.250
2816,Tutorial: Fundamental Concepts and Theories of Pedagogic Thought and Action/ Basic Questions of Education and Schooling,2010-02-25 18:08:04.345
2817,Fundamental Concepts and Theories of Pedagogic Thought and Action/ Basic Questions of Education and Schooling,2010-02-25 18:08:04.428
2818,Controversies in the Area of Educational and Institutional Theory,2010-02-25 18:08:04.537
3848,Charité - Berlin University Medicine,2010-11-11 10:38:22.755
3762,Visiting Professor,2010-09-24 07:09:30.550
2164,"Eschatology (GS - H, M, BA[B]ST)",2010-05-19 10:10:35.684
19185,"What is Just? Ethical, Theological and Pedagogical Perspectives on the Capability Approach of Justice (HS- H 250/440/441/650/651; MEd RP2/D/K; MRC B4(5)/B4a(2)/V4a)",2017-11-10 20:53:02.870
19668,CareerDay - excursions into the world of work,2018-01-30 08:06:20.220
2830,Economic Rationality and Social Responsibility,2010-02-25 18:08:38.285
2832,Knowledge Management,2010-02-25 18:08:38.464
2833,Internship: Teaching and Auditing,2010-02-25 18:08:38.561
2834,Internship: Teaching and Auditing,2010-02-25 18:08:38.623
2835,Diagnostics and adaptive teaching in vocational education and training,2010-02-25 18:08:38.680
2839,Evaluation,2010-02-25 18:08:41.371
2841,Primary school as a place of socialization and education,2010-02-25 18:08:41.528
2843,Acquisition of culture and social scientific decision-making competence of the studying area of local social studies/elementary science I,2010-02-25 18:08:41.695
2844,Introduction to the studying area of local social studies/elementary science,2010-02-25 18:08:41.810
2845,Problem solving tasks,2010-02-25 18:08:41.907
2847,Numbers and arithmetic calculation,2010-02-25 18:08:42.660
2849,Measurement,2010-02-25 18:08:42.225
2851,Experienced discovering mathematics,2010-02-25 18:08:42.421
3339,&quot;Moderation techniques for efficient workshops&quot;,2010-08-11 13:11:39.413
2867,MA Modern South and Southeast Asian Studies,2010-02-25 18:11:01.358
2868,MA African Studies,2010-02-25 18:11:01.444
2869,MA Social Sciences (StPO 2006),2010-02-25 18:11:04.142
2870,Diploma Social Sciences,2010-02-25 18:11:05.240
2871,Magister Political Science (Minor Field),2010-02-25 18:11:07.493
2872,MA Central Asian Studies,2010-02-25 18:11:08.273
2873,MA Social Sciences (StPO 2003),2010-02-25 18:11:11.582
2874,Museum of Natural History,2010-02-25 18:11:12.122
2875,BA Social Sciences (Subsidiary Field),2010-02-25 18:11:14.800
2876,Institute of Social Sciences,2010-02-25 18:11:14.187
2877,Department of Asian and African Studies,2010-02-25 18:11:14.489
2878,Magister Sociology (Minor Field),2010-02-25 18:11:14.763
2879,C Methods,2010-02-25 18:11:23.339
2880,BA Social Sciences (Major Field),2010-02-25 18:11:23.633
2881,BA Regional Studies Asia/Africa,2010-02-25 18:11:24.592
2882,A Introduction,2010-02-25 18:11:26.194
2883,BA Social Sciences (Minor Field),2010-02-25 18:11:26.317
2884,Research Colloquium Doctoral Candidates,2010-02-25 18:11:26.553
2886,Introduction into Councelling Theories,2010-03-01 11:12:16.480
2887,Analyzing Concelling Processes considering Gender Aspects,2010-03-01 11:12:16.550
2888,Processes and professional Forms of Councelling considering Gender Aspects,2010-03-01 11:12:16.610
2889,Organizational Development Concepts in Adult Education Institutions,2010-03-01 11:12:16.690
2890,Analysing Institutions of Adult Education,2010-03-01 11:12:16.760
2891,Integrative Quality Management in adult education,2010-03-01 11:12:16.820
2892,Education and Emotion,2010-03-01 11:12:16.890
2893,Learning Concepts and Education in Lifelong Learning,2010-03-01 11:12:16.960
2894,Transcultural Aspects on Learning and Education,2010-03-01 11:12:16.103
2895,Learning within Societal Change as a Field of Research and Councelling,2010-03-01 11:12:16.110
2896,Workshop on Research Methods in Adult Education - Mentoring I,2010-03-01 11:12:16.117
2897,Mentoring II,2010-03-01 11:12:16.124
2898,Impacts of Sociostructural Conditions and Aspects of Modernization on Lifelong Learning,2010-03-01 11:12:16.131
2899,Councelling  - Training considering Gender Aspects,2010-03-01 11:12:56.564
2432,Educational action and places to learn  - Exploring and changing school (Preparation),2010-03-01 11:24:39.402
2142,Educational action and places to learn - exploring and changing school (preparation),2010-03-01 11:25:55.964
2148,Educational action and places to learn - school programmes (preparation),2010-03-01 11:25:55.971
2149,Educational action and places to learn  - school revisited (preparation),2010-03-01 11:25:55.978
2150,Educational action and places to learn -  exploring and changing school (preparation),2010-03-01 11:25:55.985
2151,Educational action and places to learn - projekt work in school (preparation),2010-03-01 11:32:50.822
2155,Educational action and places to learn  - a school for all (preparation),2010-03-01 11:32:50.830
2156,Educational action and places to learn - (preparation),2010-03-01 11:32:50.837
2159,"Teaching, arranging and evaluating learning processes",2010-03-01 11:33:53.881
2135,"Teaching, arranging and evaluating learning processes",2010-03-01 11:34:34.462
2134,"Teaching, arranging and evaluating learning processes  let`s go Internet",2010-03-01 11:37:16.611
2139,"Teaching, arranging and evaluating learning processes  school in movies",2010-03-01 11:37:38.164
23549,School as a pedagogical field of action: Preparation for the school internship,2020-08-05 14:34:07.680
2885,"Teaching, arranging and evaluating learning processes  instructional research",2010-03-01 11:38:27.110
2158,"Teaching, arranging and evaluating learning processes  teaching natural-scientific subjects",2010-03-01 11:38:27.129
2901,"Teaching, arranging and evaluating learning processes  methods of instructional research",2010-03-01 11:38:55.978
2902,Legal History (Antiquity),2010-03-02 12:39:07.620
2903,Civil Law basic course I,2010-03-02 12:44:30.308
2904,Labour Law,2010-03-03 12:18:26.865
2905,GK III Constitutional Law (with International and European Law),2010-03-03 12:33:28.619
2906,"Future: Cyann - Presentation, Rhetorics, Self-Organizing",2010-03-04 10:46:27.996
2907,"Social, economical, cultural and political dimensions of the legislation - Boundaries of the Law",2010-03-04 10:53:09.180
2908,Legisprudence,2010-03-04 10:53:09.492
2984,Modul 11: Practical skills,2010-03-23 17:48:43.880
2909,Law of Regulated Industries and Regulation of Economic Activities,2010-03-04 11:02:02.123
2910,Environmental and Planning Law,2010-03-04 11:02:02.562
2911,Finance and Budget Law,2010-03-04 11:02:03.373
2912,Oral exam simulation (Criminal/Law),2010-03-04 13:20:17.102
2310,"Disability and gender, with particular reference to children  and young people with learning difficulties",2010-03-05 14:21:17.112
2913,"Heterogeneity in the field of rehabilitation, normalization  and integration/inclusion",2010-03-05 14:22:04.577
2914,Motivation for professional acting in fields of rehabilitation,2010-03-05 14:22:44.114
2915,Inclusive Education and Normality - Scientific Results,2010-03-05 14:23:39.123
2311,Progressive education meets didactics for children with learning difficulties,2010-03-05 14:24:40.727
2283,Methods of Multi-Level Analysis Large-Scale Assessments in Germany,2010-03-09 23:28:30.760
2288,Educational Statistics I - Practical Exercises,2010-03-09 23:29:05.891
2916,Introduction to basic concepts of pedagogy,2010-03-16 12:06:31.335
2917,Tutorials,2010-03-16 12:06:31.392
2918,"Pedagogical actions and places of learning. Institutions, professions, functions",2010-03-16 12:06:31.413
2919,ducational concepts in the view of progressive education,2010-03-16 12:06:31.429
2920,Systematics of educational theory in the view of ideas and actions in progressive education,2010-03-16 12:06:31.445
2921,Research Colloquium,2010-03-16 12:06:31.464
2922,Examine language and useage of language,2010-03-17 18:50:25.878
2923,Examine language and useage of language,2010-03-17 18:50:25.926
2925,Preparation bachelor thesis,2010-03-17 19:00:55.224
2926,Preparation bachelor thesis,2010-03-17 19:00:55.273
